127.0.0.1 - - [15/Apr/2020:16:17:43 +0200] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [15/Apr/2020:16:17:47 +0200] "GET /CH33TZ/ HTTP/1.1" 200 4377
0:0:0:0:0:0:0:1 - - [15/Apr/2020:16:17:48 +0200] "GET /CH33TZ/Validations/ValidationLogin.mjs HTTP/1.1" 200 3166
0:0:0:0:0:0:0:1 - - [15/Apr/2020:16:17:48 +0200] "GET /CH33TZ/Exceptions/ValidationException.mjs HTTP/1.1" 200 1269
0:0:0:0:0:0:0:1 - - [15/Apr/2020:16:17:48 +0200] "GET /CH33TZ/Exceptions/ValidationFormException.mjs HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [15/Apr/2020:16:17:54 +0200] "GET /CH33TZ/register.jsp HTTP/1.1" 200 6116
0:0:0:0:0:0:0:1 - - [15/Apr/2020:16:17:55 +0200] "GET /CH33TZ/Validations/ValidationRegister.mjs HTTP/1.1" 200 13661
0:0:0:0:0:0:0:1 - - [15/Apr/2020:16:17:55 +0200] "GET /CH33TZ/Exceptions/ValidationJSPotentialInjectionException.mjs HTTP/1.1" 200 1542
0:0:0:0:0:0:0:1 - - [15/Apr/2020:16:17:56 +0200] "GET /CH33TZ/index.jsp HTTP/1.1" 200 4377
0:0:0:0:0:0:0:1 - - [15/Apr/2020:16:18:00 +0200] "GET /CH33TZ/register.jsp HTTP/1.1" 200 6116
0:0:0:0:0:0:0:1 - makena [15/Apr/2020:16:18:45 +0200] "GET /CH33TZ/JSP-tutorial/objects/application.jsp HTTP/1.1" 200 1861
0:0:0:0:0:0:0:1 - makena [15/Apr/2020:16:18:47 +0200] "GET /CH33TZ/JSP-tutorial/objects/page.jsp HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - makena [15/Apr/2020:16:25:08 +0200] "GET /CH33TZ/JSP-tutorial/objects/page.jsp HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [15/Apr/2020:16:25:08 +0200] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - makena [15/Apr/2020:16:25:09 +0200] "GET /CH33TZ/JSP-tutorial/objects/page.jsp HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [15/Apr/2020:16:25:09 +0200] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - makena [15/Apr/2020:16:25:09 +0200] "GET /CH33TZ/JSP-tutorial/objects/page.jsp HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [15/Apr/2020:16:25:09 +0200] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - makena [15/Apr/2020:16:25:09 +0200] "GET /CH33TZ/JSP-tutorial/objects/page.jsp HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [15/Apr/2020:16:25:09 +0200] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - makena [15/Apr/2020:16:29:31 +0200] "GET /CH33TZ/JSP-tutorial/objects/page.jsp HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [15/Apr/2020:16:29:31 +0200] "GET /favicon.ico HTTP/1.1" 404 720
