127.0.0.1 - - [21/May/2020:14:30:03 +0200] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [21/May/2020:14:30:16 +0200] "GET /CH33TZ/ HTTP/1.1" 200 5514
0:0:0:0:0:0:0:1 - - [21/May/2020:14:30:16 +0200] "GET /CH33TZ/Validations/ValidationLogin.mjs HTTP/1.1" 200 6556
0:0:0:0:0:0:0:1 - - [21/May/2020:14:30:16 +0200] "GET /CH33TZ/Exceptions/ValidationException.mjs HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:14:30:16 +0200] "GET /CH33TZ/Exceptions/ValidationFormException.mjs HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:14:30:16 +0200] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [21/May/2020:14:30:19 +0200] "GET /CH33TZ/register.jsp HTTP/1.1" 200 6311
0:0:0:0:0:0:0:1 - - [21/May/2020:14:30:19 +0200] "GET /CH33TZ/Validations/ValidationRegister.mjs HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:14:30:19 +0200] "GET /CH33TZ/Exceptions/ValidationJSPotentialInjectionException.mjs HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:14:30:53 +0200] "POST /CH33TZ/register.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2020:14:30:53 +0200] "GET /CH33TZ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2020:14:30:53 +0200] "GET /CH33TZ/ HTTP/1.1" 200 5691
0:0:0:0:0:0:0:1 - - [21/May/2020:16:31:57 +0200] "GET /CH33TZ/register.jsp HTTP/1.1" 200 6311
0:0:0:0:0:0:0:1 - - [21/May/2020:17:01:45 +0200] "GET /CH33TZ/register.jsp HTTP/1.1" 200 6311
0:0:0:0:0:0:0:1 - - [21/May/2020:17:01:46 +0200] "GET /CH33TZ/Validations/ValidationRegister.mjs HTTP/1.1" 200 19791
0:0:0:0:0:0:0:1 - - [21/May/2020:17:01:46 +0200] "GET /CH33TZ/Exceptions/ValidationException.mjs HTTP/1.1" 200 1539
0:0:0:0:0:0:0:1 - - [21/May/2020:17:01:46 +0200] "GET /CH33TZ/Exceptions/ValidationFormException.mjs HTTP/1.1" 200 1859
